name,guess,lower,upper,mapping,type
LSAI,1.0,0.0,5.0,linear,surface
CanopyFraction,0.0,0.0,1.0,linear,surface
DecayCoeffCanopy,2.5,0,12.5,linear,surface
VegSnowBurying,1.0,0.0,5.0,linear,surface
RootDepth,300,0,1500,linear,surface
MinStomatalRes,60,0,300,linear,surface
VegReflectVis,0.2,0.0,1.0,linear,surface
VegReflNIR,0.2,0.0,1.0,linear,surface
VegTransVis,0.2,0.0,1.0,linear,surface
VegTransNIR,0.2,0.0,1.0,linear,surface
CanDensSurface,2.0,0.0,10.0,linear,surface
